"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"0509","Jacksonville","Jaguars","JAC","DST",NA,50,"DST","average",48.1158333333333,29,1.90916666666667,49.4031668181977,4.5895,91.78,7,"Jacksonville Jaguars","17","2020","7014","Jacksonville","Def","jac","a","ind","1","2300"
"0510","Pittsburgh","Steelers","PIT","DST",NA,50,"DST","average",66.49,2,1.07083333333334,66.9074524997029,1.224,132,1,"Pittsburgh Steelers","17","2020","7024","Pittsburgh","Def","pit","a","cle","4","3800"
"0511","Denver","Broncos","DEN","DST",NA,50,"DST","average",58.8025,15,0.504999999999995,59.2449434129192,0.98,117.32,3,"Denver Broncos","17","2020","7010","Denver","Def","den","h","lvr","10","2400"
"0512","Kansas City","Chiefs","KCC","DST",NA,50,"DST","average",59.41,14,0.755000000000003,59.8035828358134,1.048,117.46,3,"Kansas City Chiefs","17","2020","7015","Kansas City","Def","kan","h","lac","-1","3100"
"0513","Las Vegas","Raiders","LVR","DST",NA,50,"DST","average",50.25,27,1.33333333333333,64.7002704785691,9.075,91.425,6,"Las Vegas Raiders","17","2020","7022","Las Vegas","Def","lvr","a","den","5","2500"
"0515","Seattle","Seahawks","SEA","DST",NA,50,"DST","average",57.43,20,2.16833333333333,56.3012813353302,1.404,108.76,5,"Seattle Seahawks","17","2020","7028","Seattle","Def","sea","a","sfo","5","3000"
"0516","Dallas","Cowboys","DAL","DST",NA,50,"DST","average",63.075,7,2.02208333333334,64.128878050376,0.9,128.36,1,"Dallas Cowboys","17","2020","7009","Dallas","Def","dal","a","nyg","6","2900"
"0518","Philadelphia","Eagles","PHI","DST",NA,50,"DST","average",65.5991666666667,3,0.538333333333327,66.6544861205906,1.15,133.7,1,"Philadelphia Eagles","17","2020","7023","Philadelphia","Def","phi","h","was","8","0"
"0519","Arizona","Cardinals","ARI","DST",NA,50,"DST","average",61.04,9,0.465833333333336,61.9102456787243,1.052,122.06,1,"Arizona Cardinals","17","2020","7001","Arizona","Def","ari","a","lar","10","2800"
"0520","Washington","FootballTeam","WAS","DST",NA,50,"DST","average",64.8825,5,1.60624999999999,65.2516766068122,1.102,129.2,1,"Washington FootballTeam","17","2020","7031","Washington","Def","was","a","phi","10","0"
"0521","Chicago","Bears","CHI","DST",NA,50,"DST","average",54.305,22,0.642083333333332,54.9033102827143,0.94,107.72,5,"Chicago Bears","17","2020","7006","Chicago","Def","chi","h","gnb","-1","2700"
"0522","Detroit","Lions","DET","DST",NA,50,"DST","average",47.3025,30,3.06208333333333,49.1075916568236,4.1635,92.96,7,"Detroit Lions","17","2020","7011","Detroit","Def","det","h","min","-1","2200"
"0523","Green Bay","Packers","GBP","DST",NA,50,"DST","average",60.7141666666667,10,0.313333333333333,61.0857043832679,1.096,120.9,1,"Green Bay Packers","17","2020","7012","Green Bay","Def","gnb","a","chi","6","3700"
"0524","Minnesota","Vikings","MIN","DST",NA,50,"DST","average",52.4908333333333,25,1.79,54.8755564132763,4.9335,103.595,6,"Minnesota Vikings","17","2020","7017","Minnesota","Def","min","a","det","1","2600"
"0525","Tampa Bay","Buccaneers","TBB","DST",NA,50,"DST","average",65.2391666666667,4,1.05916666666667,65.9096291902784,1.026,128.34,1,"Tampa Bay Buccaneers","17","2020","7029","Tampa Bay","Def","tam","h","atl","5","3600"
"0526","Atlanta","Falcons","ATL","DST",NA,50,"DST","average",53.795,23,0.784166666666664,55.9852489500583,4.558,105.545,6,"Atlanta Falcons","17","2020","7002","Atlanta","Def","atl","a","tam","-1","2400"
"0527","Carolina","Panthers","CAR","DST",NA,50,"DST","average",60.1883333333333,13,1.08208333333334,61.1755202675057,1.1,120.88,3,"Carolina Panthers","17","2020","7005","Carolina","Def","car","h","nor","1","2600"
"0529","New Orleans","Saints","NOS","DST",NA,50,"DST","average",60.4341666666667,11,0.156249999999993,62.0921357339237,0.862,122.28,1,"New Orleans Saints","17","2020","7019","New Orleans","Def","nor","a","car","17","3400"
"0530","San Francisco","49ers","SFO","DST",NA,50,"DST","average",60.3675,12,0.568333333333335,63.3346805339171,5.7315,121.57,2,"San Francisco 49ers","17","2020","7027","San Francisco","Def","sfo","h","sea","2","3000"
"0531","Baltimore","Ravens","BAL","DST",NA,50,"DST","average",56.2183333333333,21,2.16833333333334,55.0610581082492,1.108,105.14,5,"Baltimore Ravens","17","2020","7003","Baltimore","Def","bal","a","cin","11","4200"
"0532","Houston","Texans","HOU","DST",NA,50,"DST","average",43.37,32,NA,45.2006445381774,3.498,83.27,7,"Houston Texans","17","2020","7032","Houston","Def","hou","h","ten","0","2000"
